Grammar,Meaning,Connection,Simple_Example_JP,Simple_Example_CN,Hard_Example_JP,Hard_Example_CN,Similar_Grammar,Difference
"～は～です","...是... (判断句)","A は B です","<ruby>私<rt>わたし</rt></ruby>は<ruby>学生<rt>がくせい</rt></ruby>です。","我是学生。","<ruby>昨日<rt>きのう</rt></ruby><ruby>買<rt>か</rt></ruby>った<ruby>本<rt>ほん</rt></ruby>は、<ruby>机<rt>つくえ</rt></ruby>の<ruby>上<rt>うえ</rt></ruby>にある<ruby>日本語<rt>にほんご</rt></ruby>の<ruby>教科書<rt>きょうかしょ</rt></ruby>です。","昨天买的书，是桌子上的那本日语教科书。","～が～です","「は」提示旧信息（主题），重点在后面；「が」提示新信息（主语），重点在「が」前面（如：誰が学生ですか。私が学生です）。"
"～に (存在)","在... (存在的地点)","場所 ＋ に ＋ (います/あります)","<ruby>庭<rt>にわ</rt></ruby>に<ruby>犬<rt>いぬ</rt></ruby>がいます。","院子里有狗。","<ruby>昔<rt>むかし</rt></ruby>、この<ruby>静<rt>しず</rt></ruby>かな<ruby>公園<rt>こうえん</rt></ruby>の<ruby>近<rt>ちか</rt></ruby>くに、<ruby>有名<rt>ゆうめい</rt></ruby>な<ruby>作家<rt>さっか</rt></ruby>が<ruby>住<rt>す</rt></ruby>んでいました。","很久以前，在这个安静的公园附近，住着一位有名的作家。","～で (動作)","「に」表示存在的场所（静态）；「で」表示动作发生的场所（动态）。例：公園にいます (在公园) vs 公園で遊びます (在公园玩)。"
"～で (手段)","用/通过... (手段/工具)","名詞 ＋ で","バスで<ruby>学校<rt>がっこう</rt></ruby>へ<ruby>行<rt>い</rt></ruby>きます。","坐巴士去学校。","<ruby>日本語<rt>にほんご</rt></ruby>で<ruby>手紙<rt>てがみ</rt></ruby>を<ruby>書<rt>か</rt></ruby>くのは<ruby>難<rt>むずか</rt></ruby>しいですが、<ruby>辞書<rt>じしょ</rt></ruby>を<ruby>使<rt>つか</rt></ruby>って<ruby>頑張<rt>がんば</rt></ruby>りました。","用日语写信很难，但我用词典努力写了。","～て (方法)","「で」接名词（道具/交通工具）；「て」是动词的て形，表示方式。例：歩いて行きます (走着去 - 身体动作) vs バスで行きます (坐巴士 - 交通工具)。"
"～へ","往/向... (移动方向)","場所 ＋ へ ＋ 行く/来る/帰る","<ruby>家<rt>うち</rt></ruby>へ<ruby>帰<rt>かえ</rt></ruby>ります。","回家。","<ruby>来週<rt>らいしゅう</rt></ruby>の<ruby>週末<rt>しゅうまつ</rt></ruby>、<ruby>友達<rt>ともだち</rt></ruby>と<ruby>一緒<rt>いっしょ</rt></ruby>に<ruby>新幹線<rt>しんかんせん</rt></ruby>で<ruby>東京<rt>とうきょう</rt></ruby>へ<ruby>行<rt>い</rt></ruby>くつもりです。","下周末，打算和朋友一起坐新干线去东京。","～に (到着点)","「へ」强调方向（Towards）；「に」强调到达点（To）。现代日语中，去某地时两者常通用，但「へ」更有“朝着那个方向移动”的语感。"
"～か～か","是...还是... (选择)","A か B か","<ruby>コーヒー<rt>こーひー</rt></ruby>か<ruby>紅茶<rt>こうちゃ</rt></ruby>か、どちらがいいですか。","咖啡还是红茶，哪个好？","<ruby>明日<rt>あした</rt></ruby>は<ruby>晴<rt>は</rt></ruby>れるか<ruby>雨<rt>あめ</rt></ruby>が<ruby>降<rt>ふ</rt></ruby>るか、まだわかりません。","明天是晴天还是下雨，还不知道。","～や～ (並列)","「か」是二选一；「や」是列举（A和B等）。例：ペンか鉛筆 (钢笔或铅笔) vs ペンや鉛筆 (钢笔和铅笔等)。"
"～も","也...","名詞 ＋ も","<ruby>私<rt>わたし</rt></ruby>も<ruby>学生<rt>がくせい</rt></ruby>です。","我也是学生。","<ruby>昨日<rt>きのう</rt></ruby>は<ruby>雨<rt>あめ</rt></ruby>が<ruby>降<rt>ふ</rt></ruby>りました。そして、<ruby>今日<rt>きょう</rt></ruby>も<ruby>雨<rt>あめ</rt></ruby>が<ruby>降<rt>ふ</rt></ruby>っています。","昨天下雨了。而且，今天也在下雨。","",""
"～と","和... (并列/动作伴随)","名詞 ＋ と","<ruby>友達<rt>ともだち</rt></ruby>と<ruby>映画<rt>えいが</rt></ruby>を<ruby>見<rt>み</rt></ruby>ます。","和朋友看电影。","<ruby>日曜日<rt>にちようび</rt></ruby>に、<ruby>父<rt>ちち</rt></ruby>と<ruby>母<rt>はは</rt></ruby>と<ruby>妹<rt>いもうと</rt></ruby>と<ruby>一緒<rt>いっしょ</rt></ruby>に<ruby>動物園<rt>どうぶつえん</rt></ruby>へ<ruby>行<rt>い</rt></ruby>きました。","周日，我和爸爸、妈妈、妹妹一起去了动物园。","～や (不完全列挙)","「と」是完全列举（全部列出）；「や」是不完全列举（只列出代表性的）。"
"～から～まで","从...到... (时间/场所)","名詞(時間/場所) ＋ から ＋ 名詞(時間/場所) ＋ まで","9<ruby>時<rt>じ</rt></ruby>から5<ruby>時<rt>じ</rt></ruby>まで<ruby>働<rt>はたら</rt></ruby>きます。","从9点工作到5点。","<ruby>東京<rt>とうきょう</rt></ruby>から<ruby>大阪<rt>おおさか</rt></ruby>まで、<ruby>新幹線<rt>しんかんせん</rt></ruby>で2<ruby>時間<rt>じかん</rt></ruby>半<ruby>ぐらい<rt>ぐらい</rt></ruby>かかります。","从东京到大阪，坐新干线大约需要两个半小时。","",""
"～より","比... (比较)","A は B より ～","<ruby>中国<rt>ちゅうごく</rt></ruby>は<ruby>日本<rt>にほん</rt></ruby>より<ruby>広<rt>ひろ</rt></ruby>いです。","中国比日本大。","<ruby>漢字<rt>かんじ</rt></ruby>を<ruby>書<rt>か</rt></ruby>くことは、<ruby>読<rt>よ</rt></ruby>むことより<ruby>難<rt>むずか</rt></ruby>しいと<ruby>思<rt>おも</rt></ruby>います。","我觉得写汉字比读汉字难。","～のほうが (方)","「AはBより...」(A比B...) 强调A的程度更高。「BよりAのほうが...」(比起B，A更...) 意思基本相同，但句型结构不同。"
"～てください","请... (请求/指示)","動詞（て形） ＋ ください","<ruby>窓<rt>まど</rt></ruby>を<ruby>開<rt>あ</rt></ruby>けてください。","请打开窗户。","すみませんが、この<ruby>漢字<rt>かんじ</rt></ruby>の<ruby>読<rt>よ</rt></ruby>み<ruby>方<rt>かた</rt></ruby>を<ruby>教<rt>おし</rt></ruby>えてくださいませんか。","不好意思，能请您教我这个汉字的读法吗？","",""
